date,type,asset,price,qty
2022-06-01,Deposit,USDT,1,25000
2022-06-10,Buy,NOR 3rd Aspect #80,500,1
2022-06-17,Buy,NOR 3rd Aspect #533,323,1
2022-06-27,Buy,GMX,19.09,58.23
2022-06-27,Buy,FXS,5.32,95.86
2022-06-30,Buy,GMX,15.4,90.13
2022-06-30,Buy,RUNE,1.86,268.73
2022-06-30,Buy,RUNE,1.93,519.25
2022-07-10,Buy,ROUTE,1.9,261.8
2022-07-11,Buy,KUJI,0.42,2385
2022-07-11,Buy,FXS,5.54,90.21
2022-07-14,Buy,ROUTE,2.31,216.6
2022-07-19,Buy,RUNE,2.8,285.33
2022-07-22,Buy,ROUTE,4.21,100
2022-07-25,Sell,FXS,6.16,186.07
2022-07-26,Buy,ROUTE,3.62,159.09
2022-07-27,Buy,RUNE,2.53,146.82
2022-07-27,Buy,ROUTE,4.28,233.37
2022-07-27,Buy,FXS,6.11,245.64
2022-07-28,Sell,RUNE,2.82,1220
2022-07-28,Buy,FXS,7.11,161.33
2022-07-28,Buy,RUNE,2.93,1174.07
2022-07-28,Sell,RUNE,2.81,1174
2022-07-29,Sell,FXS,7.41,406.97
2022-08-01,Buy,KUJI,0.42,1185.36
2022-08-02,Buy,RUNE,2.63,1246.48
2022-08-02,Buy,FXS,7.12,423.18
2022-08-02,Buy,UMAMI,27.31,100.67
2022-08-03,Buy,KUJI,0.5,1000.19
2022-08-09,Sell,UMAMI,29.26,100.67
2022-08-10,Buy,KUJI,0.87,1715.84
2022-08-10,Buy,ROUTE,3.77,265
2022-08-11,Buy,UMAMI,35.79,41.92
2022-08-12,Buy,UMAMI,34.35,43.67
2022-08-15,Sell,FXS,6.03,423.18
2022-08-15,Sell,UMAMI,30.99,85.59
2022-08-16,Buy,GMX,35.77,27.95
2022-08-18,Buy,GMX,34.97,14.3
2022-08-21,Buy,KUJI,1.3,455.17
2022-08-22,Buy,KUJI,1.45,85.11
2022-08-23,Buy,GMX,40.91,10
2022-08-24,Buy,ROUTE,2.92,171.34
2022-08-24,Buy,KUJI,1.36,369
2022-08-24,Buy,KUJI,1.21,413.56
2022-08-28,Sell,RUNE,1.86,1246.67
2022-08-29,Buy,KUJI,1.06,895.61
2022-09-04,Sell,ROUTE,2.76,660.12
2022-09-04,Sell,GMX,54.66,24.3
2022-09-05,Sell,GMX,54.46,56.46
2022-09-06,Buy,GMX,50.87,86.49
2022-09-07,Sell,ROUTE,2.9,107.45
2022-09-07,Sell,ROUTE,3.02,315.02
2022-09-07,Sell,ROUTE,2.96,324.61
2022-09-08,Sell,GMX,51.14,86.49
2022-09-11,Buy,GMX,49.51,89.34
2022-09-13,Buy,CPOOL,0.07,17706.71
2022-09-16,Buy,RUNE,1.7,1358.25
2022-09-21,Sell,GMX,41.29,89.34
2022-09-21,Sell,RUNE,1.62,1358.25
2022-09-24,Buy,CPOOL,0.09,2500
2022-09-27,Buy,CPOOL,0.09,3000
2022-09-28,Buy,KUJI,1.09,443.98
2022-09-29,Buy,CPOOL,0.11,1814.84
2022-09-30,Buy,CPOOL,0.12,1767.51
2022-10-01,Buy,CPOOL,0.12,3724.4
2022-10-02,Buy,CPOOL,0.13,3726.23
2022-10-02,Buy,SONNE,0.1,6987.5
2022-10-02,Sell,CPOOL,0.12,17119.85
2022-10-02,Buy,RUNE,1.51,1452.51
2022-10-03,Buy,CPOOL,0.13,15807.04
2022-10-04,Buy,ZCX,0.14,8880.53
2022-10-05,Buy,QRDO,0.25,2124.19
2022-10-06,Sell,QRDO,0.27,2124.19
2022-10-08,Buy,ZCX,0.13,3991.46
2022-10-08,Buy,GMX,45.08,33.27
2022-10-09,Sell,KUJI,1.3,1973.12
2022-10-10,Buy,CPOOL,0.12,2200
2022-10-11,Buy,GMX,39.77,37.72
2022-10-12,Buy,MTS,0.01,30000
2022-10-13,Buy,KUJI,1.01,2537.74
2022-10-14,Sell,CPOOL,0.13,11696.89
2022-10-15,Sell,ZCX,0.15,12871.99
2022-10-17,Buy,CPOOL,0.11,13500
2022-10-21,Buy,MTS,0.01,50000
2022-10-21,Sell,RUNE,1.41,1452.51
2022-10-21,Sell,CPOOL,0.09,13500
2022-10-22,Buy,CPOOL,0.09,14000
2022-10-24,Buy,NEWO,0.03,15523.58
2022-10-25,Buy,MTS,0.01,65032.7
2022-10-25,Sell,CPOOL,0.1,14000
2022-10-26,Buy,CPOOL,0.09,16000
2022-11-01,Sell,CPOOL,0.07,16000
2022-11-02,Sell,KUJI,0.97,2006
2022-11-04,Buy,PYR,4.65,529.64
2022-11-05,Buy,CANTO,0.36,2087.84
2022-11-05,Sell,PYR,4.87,529.64
2022-11-06,Buy,PYR,4.5,748.34
2022-11-08,Sell,MTS,0.01,145032.7
2022-11-08,Sell,GMX,34.09,190.84
2022-11-08,Sell,KUJI,0.83,2496.07
2022-11-08,Sell,PYR,4.11,748.34
2022-11-09,Sell,CANTO,0.2,2087.84
2022-12-07,Buy,SONNE,0,1821.85
2022-12-07,Buy,FET,0.08,13124.06
2022-12-08,Sell,FET,0.1,13124.06
2022-12-09,Buy,VXV,0.37,7069.805
2022-12-10,Sell,VXV,0.3,7069.805
2022-12-11,Buy,FXS,5.75,347.67
2022-12-16,Sell,FXS,5.25,347.67
